card_id,yo,tu,el_ella_usted,nosotros,vosotros,ellos_ellas_ustedes
1,doy, das, da, damos, dais, dan
2,digo, dices, dice, decimos, decis, dicen
3,hago, haces, hace, hacemos, haceis, hacen
4,voy, vas, va, vamos, vais, van
5,juego, juegas, juega, jugamos, jugais, juegan
6,oigo, oyes, oye, oimos, ois, oyen
7,puedo, puedes, puede, podemos, podeis, pueden
8,pongo, pones, pone, ponemos, poneis, ponen
9,quiero, quieres, quiere, queremos, quereis, quieren
10,salgo, sales, sale, salimos, salis, salen
11,vengo, vienes, viene, venimos, venis, vienen
12,veo, ves, ve, vemos, veis, ven
